catalogo_id,dataset_id,distribucion_id,serie_id,indice_tiempo_frecuencia,serie_titulo,serie_unidades,serie_descripcion,distribucion_titulo,distribucion_descripcion,distribucion_url_descarga,dataset_responsable,dataset_fuente,dataset_titulo,dataset_descripcion,dataset_tema,serie_indice_inicio,serie_indice_final,serie_valores_cant,serie_dias_no_cubiertos,serie_actualizada,serie_valor_ultimo,serie_valor_anterior,serie_var_pct_anterior,serie_discontinuada,consultas_total,consultas_30_dias,consultas_90_dias,consultas_180_dias
"bcra,1,1.1,bcra_10,R/P1M,posicion_neta_pases_total,Miles de pesos corrientes,""Principales pasivos del BCRA, promedio mensual de saldos diarios en miles de pesos - Posición neta de pases - Total"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1995-01-01,2021-06-01,318,33,True,1543854030.0,1560222495.54083,-0.010491109817741706,False,3,1,1,1"
"bcra,1,1.1,bcra_11,R/P1M,posicion_neta_pases_pasivos,Miles de pesos corrientes,""Principales pasivos del BCRA, promedio mensual de saldos diarios en miles de pesos - Posición neta de pases - Pases pasivos"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1995-01-01,2021-06-01,318,33,True,1543854030.0,1560222495.54083,-0.010491109817741706,False,5,1,1,1"
"bcra,1,1.1,bcra_12,R/P1M,posicion_neta_pases_activos,Miles de pesos corrientes,""Principales pasivos del BCRA, promedio mensual de saldos diarios en miles de pesos - Posición neta de pases - Pases activos"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1995-01-01,2021-06-01,318,33,True,0.0,0.0,nan,False,5,1,1,1"
"bcra,1,1.1,bcra_13,R/P1M,depositos_gobierno,Miles de pesos corrientes,""Principales pasivos del BCRA, promedio mensual de saldos diarios en miles de pesos - Depósitos del Gobierno"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1996-01-01,2021-06-01,306,33,True,144914133.33333302,54029419.3548387,1.682133827528446,False,4,1,1,1"
"bcra,1,1.1,bcra_14,R/P1M,redescuentos_y_adelantos_liquidez_al_sistema_financiero,Miles de pesos corrientes,""Principales pasivos del BCRA, promedio mensual de saldos diarios en miles de pesos - Redescuentos y adelantos por iliquidez otorgados al sistema financiero"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,2001-08-01,2021-06-01,239,33,True,0.0,0.0,nan,False,3,1,1,1"
"bcra,1,1.1,bcra_15,R/P1M,base_monetaria_total2,Miles de pesos corrientes,""Dinero y crédito, saldos a fin de mes, en miles de pesos - Dinero - Base Monetaria"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1940-02-01,2021-06-01,977,33,True,2735557303.0,2517197214.0,0.08674731077308429,False,11,3,5,5"
"bcra,1,1.1,bcra_16,R/P1M,billetes_y_monedas_fuera_del_sistema_financiero,Miles de pesos corrientes,""Dinero y crédito, saldos a fin de mes, en miles de pesos - Dinero - Billetes y monedas fuera del sistema financiero"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1940-02-01,2021-05-01,976,33,True,1640222865.0,1572898388.0,0.04280281390942586,False,5,1,1,1"
"bcra,1,1.1,bcra_17,R/P1M,depositos_total,Miles de pesos corrientes,""Dinero y crédito, saldos a fin de mes, en miles de pesos - Dinero - Depósitos - Total"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1990-01-01,2021-05-01,377,33,True,9942200175.44908,9627186920.3842,0.032721215207516696,False,7,1,1,2"
"bcra,1,1.1,bcra_18,R/P1M,depositos_sector_privado_no_financiero_moneda_nacional,Miles de pesos corrientes,""Dinero y crédito, saldos a fin de mes, en miles de pesos - Dinero - Depósitos - Del sector privado no financiero - De moneda nacional"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1940-02-01,2021-05-01,976,33,True,6016978975.0,5854534740.0,0.027746736882459766,False,5,0,0,0"
"bcra,1,1.1,bcra_19,R/P1M,depositos_sector_privado_no_financiero_moneda_extranjera,Miles de pesos corrientes,""Dinero y crédito, saldos a fin de mes, en miles de pesos - Dinero - Depósitos - Del sector privado no financiero - De moneda extranjera"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1980-08-01,2021-05-01,490,33,True,1531951007.0,1494339900.0,0.025169044204735425,False,5,0,0,0"
"bcra,1,1.1,bcra_2,R/P1M,reservas_internacionales_promedio_saldo_diario,Millones de USD,""Reservas internacionales del BCRA - oro, divisas, colocaciones a plazo y otros - Promedio mensual de saldos diarios, en millones de dólares estadounidenses"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1996-01-01,2021-06-01,306,33,True,42420.6633333333,41106.8838709677,0.03196008402119421,False,3,0,0,0"
"bcra,1,1.1,bcra_20,R/P1M,depositos_sector_publico_no_financiero_moneda_nacional,Miles de pesos corrientes,""Dinero y crédito, saldos a fin de mes, en miles de pesos - Dinero - Depósitos - Del sector público no financiero - De moneda nacional"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1940-02-01,2021-05-01,976,33,True,2134843296.00064,2025516036.52735,0.05397501550307471,False,6,0,0,0"
"bcra,1,1.1,bcra_21,R/P1M,depositos_sector_publico_no_financiero_moneda_extranjera,Miles de pesos corrientes,""Dinero y crédito, saldos a fin de mes, en miles de pesos - Dinero - Depósitos - Del sector público no financiero - De moneda extranjera"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1981-01-01,2021-05-01,485,33,True,258426897.44844,252796243.85685,0.022273485973068663,False,5,0,0,0"
"bcra,1,1.1,bcra_2198,R/P1M,m1_depositos_cc_moneda_nacional,Miles de pesos corrientes,""Agregados monetarios, saldos afin de mes, en miles de pesos - M1 - En moneda nacional - Depósitos en cuentas corrientes - Total"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1940-06-01,2021-05-01,972,33,True,2038047.559,1950874.857,0.04468390255131571,False,35,3,6,7"
"bcra,1,1.1,bcra_22,R/P1M,credito_total,Miles de pesos corrientes,""Dinero y crédito, saldos a fin de mes, en miles de pesos - Crédito - Total"",Panorama monetario y financiero (series mensuales),Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Panorama monetario y financiero,Banco Central de la República Argentina (BCRA),Panorama monetario y financiero,""Reservas internacionales del BCRA: oro, divisas, colocaciones a plazo y otros, saldos a fin de mes y promedio mensual de saldos diarios, en millones de dólares estadounidenses. Agregados monetarios, saldos a fin de mes, en miles de pesos. Principales pasivos del BCRA, promedio mensual de saldos diarios en millones de pesos. Dinero y crédito, saldos a fin de mes, en millones de pesos. Tasas de interés, promedio mensual en porcentaje nominal anual."",Dinero y Bancos,1990-01-01,2021-05-01,377,33,True,17211810932.8362,16743217800.0992,0.02798704157896248,False,7,1,1,1"
