catalogo_id,dataset_id,distribucion_id,serie_id,indice_tiempo_frecuencia,serie_titulo,serie_unidades,serie_descripcion,distribucion_titulo,distribucion_descripcion,distribucion_url_descarga,dataset_responsable,dataset_fuente,dataset_titulo,dataset_descripcion,dataset_tema,serie_indice_inicio,serie_indice_final,serie_valores_cant,serie_dias_no_cubiertos,serie_actualizada,serie_valor_ultimo,serie_valor_anterior,serie_var_pct_anterior,serie_discontinuada,consultas_total,consultas_30_dias,consultas_90_dias,consultas_180_dias
"agroindustria,091cb5ae-fa89-4c5d-a9cf-cd846dc13301,df8f7d09-797e-4e0b-9ad0-160f99edf2c0,AGRO_0010,R/P1M,leche_cruda_precio_promedio_kg,Pesos argentinos,Promedio del precio por kg.,Serie de tiempo,Dirección Nacional Láctea,https://datos.magyp.gob.ar/dataset/091cb5ae-fa89-4c5d-a9cf-cd846dc13301/resource/df8f7d09-797e-4e0b-9ad0-160f99edf2c0/download/serie-tiempo-precio-promedio-del-litro-de-leche-2011-2017.csv,Lácteos - Precio promedio del litro de leche,,Lácteos - Precio promedio del litro de leche,""Precio promedio mensual del litro de leche pagado al productor, expresado en pesos argentinos."",,2011-01-01,2017-02-01,74,3002,False,5.076,4.949,0.025661749848454152,False,1901,65,149,236"
"agroindustria,0b1e7535-f267-4d7f-9fc8-f35f4c081f5c,b1cca22c-d1b6-4816-95da-c8349be7278d,AGRO_0314,R/P1M,produccion_leche,litros,Producción de leche en millones de litros.,Lácteos - Producción nacional de leche por mes y por año,""Ministerio de Agricultura, Ganadería y Pesca - Dirección Nacional Láctea"",https://datos.magyp.gob.ar/dataset/0b1e7535-f267-4d7f-9fc8-f35f4c081f5c/resource/b1cca22c-d1b6-4816-95da-c8349be7278d/download/produccion_leche_mes.csv,Lácteos - Producción nacional de leche por mes y por año,Dirección Nacional Láctea,Lácteos - Producción nacional de leche por mes y por año,""Producción argentina de leche por mes y por año, desde Enero 2015."",,2015-01-01,2020-10-01,70,1661,False,1079.2,1022.3,0.055658808568913365,False,12308,82,132,218"
"agroindustria,10105e94-c560-4b02-b15f-ef3ef764b833,dc3ae069-af81-4bdd-82cb-2f57f2c296dd,AGRO_A_Trigo_0001,R/P1Y,superficie_sembrada_trigo_ha,Hectáreas,Hectáreas sembradas de trigo.,Serie de tiempo de trigo,""Secretaría de Agricultura, Ganadería y Pesca - Dirección Nacional de Agricultura"",https://datos.magyp.gob.ar/dataset/10105e94-c560-4b02-b15f-ef3ef764b833/resource/dc3ae069-af81-4bdd-82cb-2f57f2c296dd/download/trigo-serie-1923-2024-anual.csv,""Trigo - siembra, cosecha, producción, rendimiento"",MAGyP,""Trigo - siembra, cosecha, producción, rendimiento"",""Serie histórica de la superficie sembrada, superficie cosechada, producción y rendimiento de trigo en la Argentina desde 1923."",,1923-01-01,2024-01-01,102,139,True,6550169.0,5916678.0,0.10706869631911697,False,3272,332,806,1378"
"agroindustria,10105e94-c560-4b02-b15f-ef3ef764b833,dc3ae069-af81-4bdd-82cb-2f57f2c296dd,AGRO_A_Trigo_0002,R/P1Y,superficie_cosechada_trigo_ha,Hectáreas,Hectáreas cosechadas de trigo.,Serie de tiempo de trigo,""Secretaría de Agricultura, Ganadería y Pesca - Dirección Nacional de Agricultura"",https://datos.magyp.gob.ar/dataset/10105e94-c560-4b02-b15f-ef3ef764b833/resource/dc3ae069-af81-4bdd-82cb-2f57f2c296dd/download/trigo-serie-1923-2024-anual.csv,""Trigo - siembra, cosecha, producción, rendimiento"",MAGyP,""Trigo - siembra, cosecha, producción, rendimiento"",""Serie histórica de la superficie sembrada, superficie cosechada, producción y rendimiento de trigo en la Argentina desde 1923."",,1923-01-01,2024-01-01,102,139,True,6341303.0,5575352.0,0.1373816397601444,False,3009,312,754,1289"
"agroindustria,10105e94-c560-4b02-b15f-ef3ef764b833,dc3ae069-af81-4bdd-82cb-2f57f2c296dd,AGRO_A_Trigo_0003,R/P1Y,produccion_trigo_t,Toneladas,Producción anual de trigo en toneladas.,Serie de tiempo de trigo,""Secretaría de Agricultura, Ganadería y Pesca - Dirección Nacional de Agricultura"",https://datos.magyp.gob.ar/dataset/10105e94-c560-4b02-b15f-ef3ef764b833/resource/dc3ae069-af81-4bdd-82cb-2f57f2c296dd/download/trigo-serie-1923-2024-anual.csv,""Trigo - siembra, cosecha, producción, rendimiento"",MAGyP,""Trigo - siembra, cosecha, producción, rendimiento"",""Serie histórica de la superficie sembrada, superficie cosechada, producción y rendimiento de trigo en la Argentina desde 1923."",,1923-01-01,2024-01-01,102,139,True,18510280.0,15853154.0,0.16760866638903527,False,3181,336,808,1369"
"agroindustria,10105e94-c560-4b02-b15f-ef3ef764b833,dc3ae069-af81-4bdd-82cb-2f57f2c296dd,AGRO_A_Trigo_0004,R/P1Y,rendimiento_trigo_kgxha,kilogramo,Rendimiento en kilogramos por hectárea de trigo.,Serie de tiempo de trigo,""Secretaría de Agricultura, Ganadería y Pesca - Dirección Nacional de Agricultura"",https://datos.magyp.gob.ar/dataset/10105e94-c560-4b02-b15f-ef3ef764b833/resource/dc3ae069-af81-4bdd-82cb-2f57f2c296dd/download/trigo-serie-1923-2024-anual.csv,""Trigo - siembra, cosecha, producción, rendimiento"",MAGyP,""Trigo - siembra, cosecha, producción, rendimiento"",""Serie histórica de la superficie sembrada, superficie cosechada, producción y rendimiento de trigo en la Argentina desde 1923."",,1923-01-01,2024-01-01,102,139,True,2596.39,2584.31,0.004674361821917605,False,1651,139,327,622"
"agroindustria,107f502f-d0f8-4835-860e-cc7d2fc5425f,6fdd4867-6eab-49c0-b27a-2bfb511a124f,AGRO_0113,R/P1Y,carneros,Unidad,Cantidad de carneros.,Serie de tiempo,Dirección Nacional de Sanidad Animal,https://datos.magyp.gob.ar/dataset/107f502f-d0f8-4835-860e-cc7d2fc5425f/resource/6fdd4867-6eab-49c0-b27a-2bfb511a124f/download/existencias-ovinas-2008-2019.csv,SENASA - Existencias ovinas,Servicio Nacional de Sanidad y Calidad Agroalimentaria - SENASA,SENASA - Existencias ovinas,""Existencias ovinas por provincia y partido / departamento, clasificadas en categorías."",,2008-01-01,2019-01-01,12,1966,False,560417,551077,0.01694862968332922,False,1085,45,61,98"
"agroindustria,107f502f-d0f8-4835-860e-cc7d2fc5425f,6fdd4867-6eab-49c0-b27a-2bfb511a124f,AGRO_0114,R/P1Y,ovejas,Unidad,Cantidad de ovejas.,Serie de tiempo,Dirección Nacional de Sanidad Animal,https://datos.magyp.gob.ar/dataset/107f502f-d0f8-4835-860e-cc7d2fc5425f/resource/6fdd4867-6eab-49c0-b27a-2bfb511a124f/download/existencias-ovinas-2008-2019.csv,SENASA - Existencias ovinas,Servicio Nacional de Sanidad y Calidad Agroalimentaria - SENASA,SENASA - Existencias ovinas,""Existencias ovinas por provincia y partido / departamento, clasificadas en categorías."",,2008-01-01,2019-01-01,12,1966,False,8302740,8153999,0.01824147881303384,False,1159,11,30,60"
"agroindustria,107f502f-d0f8-4835-860e-cc7d2fc5425f,6fdd4867-6eab-49c0-b27a-2bfb511a124f,AGRO_0115,R/P1Y,borregos,Unidad,Cantidad de borregos.,Serie de tiempo,Dirección Nacional de Sanidad Animal,https://datos.magyp.gob.ar/dataset/107f502f-d0f8-4835-860e-cc7d2fc5425f/resource/6fdd4867-6eab-49c0-b27a-2bfb511a124f/download/existencias-ovinas-2008-2019.csv,SENASA - Existencias ovinas,Servicio Nacional de Sanidad y Calidad Agroalimentaria - SENASA,SENASA - Existencias ovinas,""Existencias ovinas por provincia y partido / departamento, clasificadas en categorías."",,2008-01-01,2019-01-01,12,1966,False,2039408,1885998,0.0813415496729053,False,1148,8,28,58"
"agroindustria,107f502f-d0f8-4835-860e-cc7d2fc5425f,6fdd4867-6eab-49c0-b27a-2bfb511a124f,AGRO_0116,R/P1Y,capones,Unidad,Cantidad de capones.,Serie de tiempo,Dirección Nacional de Sanidad Animal,https://datos.magyp.gob.ar/dataset/107f502f-d0f8-4835-860e-cc7d2fc5425f/resource/6fdd4867-6eab-49c0-b27a-2bfb511a124f/download/existencias-ovinas-2008-2019.csv,SENASA - Existencias ovinas,Servicio Nacional de Sanidad y Calidad Agroalimentaria - SENASA,SENASA - Existencias ovinas,""Existencias ovinas por provincia y partido / departamento, clasificadas en categorías."",,2008-01-01,2019-01-01,12,1966,False,1296183,1217169,0.06491621130672898,False,1150,11,29,59"
"agroindustria,107f502f-d0f8-4835-860e-cc7d2fc5425f,6fdd4867-6eab-49c0-b27a-2bfb511a124f,AGRO_0117,R/P1Y,corderos_corderas,Unidad,Cantidad de corderos y corderas.,Serie de tiempo,Dirección Nacional de Sanidad Animal,https://datos.magyp.gob.ar/dataset/107f502f-d0f8-4835-860e-cc7d2fc5425f/resource/6fdd4867-6eab-49c0-b27a-2bfb511a124f/download/existencias-ovinas-2008-2019.csv,SENASA - Existencias ovinas,Servicio Nacional de Sanidad y Calidad Agroalimentaria - SENASA,SENASA - Existencias ovinas,""Existencias ovinas por provincia y partido / departamento, clasificadas en categorías."",,2008-01-01,2019-01-01,12,1966,False,2575448,2531665,0.01729415226738129,False,1138,11,29,62"
"agroindustria,10be262c-e6b2-484c-9bb7-ec74b3b5bbc7,937cbe48-eeb5-424f-9259-71ce28da2afe,AGRO_0108,R/P1Y,chivos,Unidad,Cantidad de chivos.,Serie de tiempo,Dirección Nacional de Sanidad Animal,https://datos.magyp.gob.ar/dataset/10be262c-e6b2-484c-9bb7-ec74b3b5bbc7/resource/937cbe48-eeb5-424f-9259-71ce28da2afe/download/existencias_caprinas_anual.csv,SENASA - Existencias caprinas,Servicio Nacional de Sanidad y Calidad Agroalimentaria - SENASA,SENASA - Existencias caprinas,""Existencias caprinas por provincia y partido / departamento, clasificadas en categorías."",,2008-01-01,2019-01-01,12,1966,False,473890.0,509209.0,-0.06936051797984721,False,718,24,49,92"
"agroindustria,10be262c-e6b2-484c-9bb7-ec74b3b5bbc7,937cbe48-eeb5-424f-9259-71ce28da2afe,AGRO_0109,R/P1Y,cabras,Unidad,Cantidad de cabras,Serie de tiempo,Dirección Nacional de Sanidad Animal,https://datos.magyp.gob.ar/dataset/10be262c-e6b2-484c-9bb7-ec74b3b5bbc7/resource/937cbe48-eeb5-424f-9259-71ce28da2afe/download/existencias_caprinas_anual.csv,SENASA - Existencias caprinas,Servicio Nacional de Sanidad y Calidad Agroalimentaria - SENASA,SENASA - Existencias caprinas,""Existencias caprinas por provincia y partido / departamento, clasificadas en categorías."",,2008-01-01,2019-01-01,12,1966,False,2438499.0,2544964.0,-0.041833597646175,False,765,23,48,95"
"agroindustria,10be262c-e6b2-484c-9bb7-ec74b3b5bbc7,937cbe48-eeb5-424f-9259-71ce28da2afe,AGRO_0110,R/P1Y,cabritos,Unidad,Cantidad de cabritos.,Serie de tiempo,Dirección Nacional de Sanidad Animal,https://datos.magyp.gob.ar/dataset/10be262c-e6b2-484c-9bb7-ec74b3b5bbc7/resource/937cbe48-eeb5-424f-9259-71ce28da2afe/download/existencias_caprinas_anual.csv,SENASA - Existencias caprinas,Servicio Nacional de Sanidad y Calidad Agroalimentaria - SENASA,SENASA - Existencias caprinas,""Existencias caprinas por provincia y partido / departamento, clasificadas en categorías."",,2008-01-01,2019-01-01,12,1966,False,673544.0,703827.0,-0.04302619819927345,False,717,19,43,84"
"agroindustria,10be262c-e6b2-484c-9bb7-ec74b3b5bbc7,937cbe48-eeb5-424f-9259-71ce28da2afe,AGRO_0111,R/P1Y,capones,Unidad,Cantidad de capones.,Serie de tiempo,Dirección Nacional de Sanidad Animal,https://datos.magyp.gob.ar/dataset/10be262c-e6b2-484c-9bb7-ec74b3b5bbc7/resource/937cbe48-eeb5-424f-9259-71ce28da2afe/download/existencias_caprinas_anual.csv,SENASA - Existencias caprinas,Servicio Nacional de Sanidad y Calidad Agroalimentaria - SENASA,SENASA - Existencias caprinas,""Existencias caprinas por provincia y partido / departamento, clasificadas en categorías."",,2009-01-01,2019-01-01,11,1966,False,113458.0,101971.0,0.11264967490757183,False,683,19,42,85"
"agroindustria,10be262c-e6b2-484c-9bb7-ec74b3b5bbc7,937cbe48-eeb5-424f-9259-71ce28da2afe,AGRO_0112,R/P1Y,cabrillas_chivitos,Unidad,Cantidad de cabrillas y chivitos.,Serie de tiempo,Dirección Nacional de Sanidad Animal,https://datos.magyp.gob.ar/dataset/10be262c-e6b2-484c-9bb7-ec74b3b5bbc7/resource/937cbe48-eeb5-424f-9259-71ce28da2afe/download/existencias_caprinas_anual.csv,SENASA - Existencias caprinas,Servicio Nacional de Sanidad y Calidad Agroalimentaria - SENASA,SENASA - Existencias caprinas,""Existencias caprinas por provincia y partido / departamento, clasificadas en categorías."",,2009-01-01,2019-01-01,11,1966,False,380083.0,442523.0,-0.14110001062091693,False,729,17,41,82"
"agroindustria,164521f9-8cb4-4e3f-8299-3853a1d890ec,65ff01cd-acaa-4aed-842b-870ff69b10d9,AGRO_0139,R/P1M,caseina,litro,Caseina,Serie de Tiempo de Existencias lácteas durante los años 1998 y 2008,Dirección Nacional Láctea,https://datos.magyp.gob.ar/dataset/164521f9-8cb4-4e3f-8299-3853a1d890ec/resource/65ff01cd-acaa-4aed-842b-870ff69b10d9/download/serie-existencias-lacteas-del-periodo-comprendido-entre-1998-2008.csv,Lácteos - Existencias entre los años 1998 y 2008,,Lácteos - Existencias entre los años 1998 y 2008,""Existencias lácteas en litros del período 1998 - 2008, desagregadas por mes y producto."",,1998-01-01,2008-12-01,132,5983,False,0.0,0.0,nan,False,729,27,66,118"
"agroindustria,164521f9-8cb4-4e3f-8299-3853a1d890ec,65ff01cd-acaa-4aed-842b-870ff69b10d9,AGRO_0140,R/P1M,caseinatos,litro,Caseinatos,Serie de Tiempo de Existencias lácteas durante los años 1998 y 2008,Dirección Nacional Láctea,https://datos.magyp.gob.ar/dataset/164521f9-8cb4-4e3f-8299-3853a1d890ec/resource/65ff01cd-acaa-4aed-842b-870ff69b10d9/download/serie-existencias-lacteas-del-periodo-comprendido-entre-1998-2008.csv,Lácteos - Existencias entre los años 1998 y 2008,,Lácteos - Existencias entre los años 1998 y 2008,""Existencias lácteas en litros del período 1998 - 2008, desagregadas por mes y producto."",,1998-01-01,2008-12-01,132,5983,False,0.0,0.0,nan,False,834,34,73,129"
"agroindustria,164521f9-8cb4-4e3f-8299-3853a1d890ec,65ff01cd-acaa-4aed-842b-870ff69b10d9,AGRO_0141,R/P1M,crema,litro,Crema,Serie de Tiempo de Existencias lácteas durante los años 1998 y 2008,Dirección Nacional Láctea,https://datos.magyp.gob.ar/dataset/164521f9-8cb4-4e3f-8299-3853a1d890ec/resource/65ff01cd-acaa-4aed-842b-870ff69b10d9/download/serie-existencias-lacteas-del-periodo-comprendido-entre-1998-2008.csv,Lácteos - Existencias entre los años 1998 y 2008,,Lácteos - Existencias entre los años 1998 y 2008,""Existencias lácteas en litros del período 1998 - 2008, desagregadas por mes y producto."",,1998-01-01,2008-12-01,132,5983,False,0.0,0.0,nan,False,703,25,63,120"
