catalogo_id,dataset_id,distribucion_id,serie_id,indice_tiempo_frecuencia,serie_titulo,serie_unidades,serie_descripcion,distribucion_titulo,distribucion_descripcion,distribucion_url_descarga,dataset_responsable,dataset_fuente,dataset_titulo,dataset_descripcion,dataset_tema,serie_indice_inicio,serie_indice_final,serie_valores_cant,serie_dias_no_cubiertos,serie_actualizada,serie_valor_ultimo,serie_valor_anterior,serie_var_pct_anterior,serie_discontinuada,consultas_total,consultas_30_dias,consultas_90_dias,consultas_180_dias
"obras,10,10.1,obras_10_01_01,R/P1Y,pct_trab_conninxs_var_arg,Porcentaje,Porcentaje de varones de 18 años y más con presencia de 2 o más niños o niñas de 6 años que participan en el trabajo no remunerado 2013 nacional,""Porcentaje de varones de 18 años y más con presencia de 2 o más niños o niñas de 6 años que participan en el trabajo no remunerado: quehaceres domésticos, apoyo escolar y cuidado de las personas."",Dirección Nacional de Transparencia. Ministerio de Obras Públicas,https://transparencia.obraspublicas.gob.ar/pct-trab-conninxs-var.csv,Sistema sociodemográfico - Cuidados,Ministerio de Obras Públicas. Secretaría de Gestión Administrativa.Dirección General de Tecnologías de la Información y las Comunicaciones. Dirección Nacional de Transparencia,Sistema sociodemográfico - Cuidados,Sistema sociodemográfico - Cuidados,Sociedad,2012-01-01,2013-01-01,2,4157,False,0.6,0.0,inf,False,232,2,11,22"
"obras,10,10.1,obras_10_01_02,R/P1Y,pct_trab_conninxs_var_2,Porcentaje,Porcentaje de varones de 18 años y más con presencia de 2 o más niños o niñas de 6 años que participan en el trabajo no remunerado 2013 ciudad autónoma de Buenos Aires,""Porcentaje de varones de 18 años y más con presencia de 2 o más niños o niñas de 6 años que participan en el trabajo no remunerado: quehaceres domésticos, apoyo escolar y cuidado de las personas."",Dirección Nacional de Transparencia. Ministerio de Obras Públicas,https://transparencia.obraspublicas.gob.ar/pct-trab-conninxs-var.csv,Sistema sociodemográfico - Cuidados,Ministerio de Obras Públicas. Secretaría de Gestión Administrativa.Dirección General de Tecnologías de la Información y las Comunicaciones. Dirección Nacional de Transparencia,Sistema sociodemográfico - Cuidados,Sistema sociodemográfico - Cuidados,Sociedad,2012-01-01,2013-01-01,2,4157,False,0.7,0.0,inf,False,226,1,11,22"
"obras,10,10.1,obras_10_01_03,R/P1Y,pct_trab_conninxs_var_6,Porcentaje,Porcentaje de varones de 18 años y más con presencia de 2 o más niños o niñas de 6 años que participan en el trabajo no remunerado 2013 Buenos Aires,""Porcentaje de varones de 18 años y más con presencia de 2 o más niños o niñas de 6 años que participan en el trabajo no remunerado: quehaceres domésticos, apoyo escolar y cuidado de las personas."",Dirección Nacional de Transparencia. Ministerio de Obras Públicas,https://transparencia.obraspublicas.gob.ar/pct-trab-conninxs-var.csv,Sistema sociodemográfico - Cuidados,Ministerio de Obras Públicas. Secretaría de Gestión Administrativa.Dirección General de Tecnologías de la Información y las Comunicaciones. Dirección Nacional de Transparencia,Sistema sociodemográfico - Cuidados,Sistema sociodemográfico - Cuidados,Sociedad,2012-01-01,2013-01-01,2,4157,False,0.5,0.0,inf,False,184,3,11,19"
"obras,10,10.1,obras_10_01_04,R/P1Y,pct_trab_conninxs_var_10,Porcentaje,Porcentaje de varones de 18 años y más con presencia de 2 o más niños o niñas de 6 años que participan en el trabajo no remunerado 2013 Catamarca,""Porcentaje de varones de 18 años y más con presencia de 2 o más niños o niñas de 6 años que participan en el trabajo no remunerado: quehaceres domésticos, apoyo escolar y cuidado de las personas."",Dirección Nacional de Transparencia. Ministerio de Obras Públicas,https://transparencia.obraspublicas.gob.ar/pct-trab-conninxs-var.csv,Sistema sociodemográfico - Cuidados,Ministerio de Obras Públicas. Secretaría de Gestión Administrativa.Dirección General de Tecnologías de la Información y las Comunicaciones. Dirección Nacional de Transparencia,Sistema sociodemográfico - Cuidados,Sistema sociodemográfico - Cuidados,Sociedad,2012-01-01,2013-01-01,2,4157,False,0.5,0.0,inf,False,214,2,11,18"
"obras,10,10.1,obras_10_01_05,R/P1Y,pct_trab_conninxs_var_22,Porcentaje,Porcentaje de varones de 18 años y más con presencia de 2 o más niños o niñas de 6 años que participan en el trabajo no remunerado 2013 chaco,""Porcentaje de varones de 18 años y más con presencia de 2 o más niños o niñas de 6 años que participan en el trabajo no remunerado: quehaceres domésticos, apoyo escolar y cuidado de las personas."",Dirección Nacional de Transparencia. Ministerio de Obras Públicas,https://transparencia.obraspublicas.gob.ar/pct-trab-conninxs-var.csv,Sistema sociodemográfico - Cuidados,Ministerio de Obras Públicas. Secretaría de Gestión Administrativa.Dirección General de Tecnologías de la Información y las Comunicaciones. Dirección Nacional de Transparencia,Sistema sociodemográfico - Cuidados,Sistema sociodemográfico - Cuidados,Sociedad,2012-01-01,2013-01-01,2,4157,False,0.6,0.0,inf,False,203,4,16,25"
"obras,10,10.1,obras_10_01_06,R/P1Y,pct_trab_conninxs_var_26,Porcentaje,Porcentaje de varones de 18 años y más con presencia de 2 o más niños o niñas de 6 años que participan en el trabajo no remunerado 2013 chubut,""Porcentaje de varones de 18 años y más con presencia de 2 o más niños o niñas de 6 años que participan en el trabajo no remunerado: quehaceres domésticos, apoyo escolar y cuidado de las personas."",Dirección Nacional de Transparencia. Ministerio de Obras Públicas,https://transparencia.obraspublicas.gob.ar/pct-trab-conninxs-var.csv,Sistema sociodemográfico - Cuidados,Ministerio de Obras Públicas. Secretaría de Gestión Administrativa.Dirección General de Tecnologías de la Información y las Comunicaciones. Dirección Nacional de Transparencia,Sistema sociodemográfico - Cuidados,Sistema sociodemográfico - Cuidados,Sociedad,2012-01-01,2013-01-01,2,4157,False,0.6,0.0,inf,False,212,1,10,17"
"obras,10,10.1,obras_10_01_07,R/P1Y,pct_trab_conninxs_var_14,Porcentaje,Porcentaje de varones de 18 años y más con presencia de 2 o más niños o niñas de 6 años que participan en el trabajo no remunerado 2013 córdoba,""Porcentaje de varones de 18 años y más con presencia de 2 o más niños o niñas de 6 años que participan en el trabajo no remunerado: quehaceres domésticos, apoyo escolar y cuidado de las personas."",Dirección Nacional de Transparencia. Ministerio de Obras Públicas,https://transparencia.obraspublicas.gob.ar/pct-trab-conninxs-var.csv,Sistema sociodemográfico - Cuidados,Ministerio de Obras Públicas. Secretaría de Gestión Administrativa.Dirección General de Tecnologías de la Información y las Comunicaciones. Dirección Nacional de Transparencia,Sistema sociodemográfico - Cuidados,Sistema sociodemográfico - Cuidados,Sociedad,2012-01-01,2013-01-01,2,4157,False,0.6,0.0,inf,False,206,2,12,20"
"obras,10,10.1,obras_10_01_08,R/P1Y,pct_trab_conninxs_var_18,Porcentaje,Porcentaje de varones de 18 años y más con presencia de 2 o más niños o niñas de 6 años que participan en el trabajo no remunerado 2013 corrientes,""Porcentaje de varones de 18 años y más con presencia de 2 o más niños o niñas de 6 años que participan en el trabajo no remunerado: quehaceres domésticos, apoyo escolar y cuidado de las personas."",Dirección Nacional de Transparencia. Ministerio de Obras Públicas,https://transparencia.obraspublicas.gob.ar/pct-trab-conninxs-var.csv,Sistema sociodemográfico - Cuidados,Ministerio de Obras Públicas. Secretaría de Gestión Administrativa.Dirección General de Tecnologías de la Información y las Comunicaciones. Dirección Nacional de Transparencia,Sistema sociodemográfico - Cuidados,Sistema sociodemográfico - Cuidados,Sociedad,2012-01-01,2013-01-01,2,4157,False,0.6,0.0,inf,False,181,1,11,19"
"obras,10,10.1,obras_10_01_09,R/P1Y,pct_trab_conninxs_var_30,Porcentaje,Porcentaje de varones de 18 años y más con presencia de 2 o más niños o niñas de 6 años que participan en el trabajo no remunerado 2013 entre ríos,""Porcentaje de varones de 18 años y más con presencia de 2 o más niños o niñas de 6 años que participan en el trabajo no remunerado: quehaceres domésticos, apoyo escolar y cuidado de las personas."",Dirección Nacional de Transparencia. Ministerio de Obras Públicas,https://transparencia.obraspublicas.gob.ar/pct-trab-conninxs-var.csv,Sistema sociodemográfico - Cuidados,Ministerio de Obras Públicas. Secretaría de Gestión Administrativa.Dirección General de Tecnologías de la Información y las Comunicaciones. Dirección Nacional de Transparencia,Sistema sociodemográfico - Cuidados,Sistema sociodemográfico - Cuidados,Sociedad,2012-01-01,2013-01-01,2,4157,False,0.6,0.0,inf,False,201,2,12,25"
"obras,10,10.1,obras_10_01_10,R/P1Y,pct_trab_conninxs_var_34,Porcentaje,Porcentaje de varones de 18 años y más con presencia de 2 o más niños o niñas de 6 años que participan en el trabajo no remunerado 2013 formosa,""Porcentaje de varones de 18 años y más con presencia de 2 o más niños o niñas de 6 años que participan en el trabajo no remunerado: quehaceres domésticos, apoyo escolar y cuidado de las personas."",Dirección Nacional de Transparencia. Ministerio de Obras Públicas,https://transparencia.obraspublicas.gob.ar/pct-trab-conninxs-var.csv,Sistema sociodemográfico - Cuidados,Ministerio de Obras Públicas. Secretaría de Gestión Administrativa.Dirección General de Tecnologías de la Información y las Comunicaciones. Dirección Nacional de Transparencia,Sistema sociodemográfico - Cuidados,Sistema sociodemográfico - Cuidados,Sociedad,2012-01-01,2013-01-01,2,4157,False,0.7,0.0,inf,False,185,2,8,15"
